Borough,Neighborhood,ID,Name,Neighbourhood
Queens,,4adbaef0f964a520ff2921e3,Punjabi Kabab House,Richmond Hill
Queens,,4babc24ef964a5200ac73ae3,Royal India Palace,Richmond Hill
Queens,,4bb2bc48a32876b02e0b01fe,Tandoori Hut,Richmond Hill
Queens,,57d9e9a1498e545076560fef,Punjabi Diner,Richmond Hill
Queens,,50a287a7e4b0033f830f06db,Raj's Indian Kitchen,Long Island City
Queens,,5b931ea69d7468002c3b1382,Adda,Long Island City
Queens,,4b1b341bf964a5208af923e3,Five Star Banquet,Long Island City
Queens,,5b931ea69d7468002c3b1382,Adda,Sunnyside
Queens,,50e1c9708aca7ff2b3e50353,Nepalese Indian Restaurant,Ridgewood
Queens,,5625af69498ebbc62b61a382,Aaheli Restaurant,Rego Park
Queens,,572d7c21498e098658a0edd7,Punjabi kabab and gyro,Ozone Park
Queens,,4f1f4996e4b01ff351a7a50c,Ayna Agra Indian Restaurant,Bayside
Queens,,539a4ff0498e79c6745baba9,Masala Box,Bayside
Queens,,539e27b0498e2eba582085ee,masalabox,Bayside
Queens,,4b787c49f964a5209cd12ee3,Santoor Indian Restaurant,Glen Oaks
Queens,,4c0e256ab1b676b06589e186,Sohna Punjab,Glen Oaks
Queens,,4b9030abf964a520397b33e3,Taste of Cochin,Glen Oaks
Queens,,4df0f39dd4c04d0392c853ea,Sagar Chinese,Glen Oaks
Queens,,4b96926df964a520abd534e3,Khyber Indian Restaurant,Kew Gardens Hills
Queens,,4be334312fc7d13a7a81083a,Taj Mahal Restaurant & Party Hall,Briarwood
Queens,,4bad49a0f964a52041423be3,Annam Brahma,Briarwood
Queens,,4cc08b0900d83704ed474b5c,Sybil's Bakery,Briarwood
Queens,,4bad49a0f964a52041423be3,Annam Brahma,Jamaica Center
Queens,,4c434b2bd691c9b6ef8f8f0a,Sagar Restaurant,Jamaica Center
Queens,,4cc08b0900d83704ed474b5c,Sybil's Bakery,Jamaica Center
Queens,,562035d9498e2abb4137c2c7,Yaar Indian Restaurant,Steinway
Queens,,4e4e3e22bd4101d0d7a5c2d1,Kerala Kitchen,Floral Park
Queens,,527ffc0811d2d329d5e49abd,Jackson Diner,Floral Park
Queens,,4b787c49f964a5209cd12ee3,Santoor Indian Restaurant,Floral Park
Queens,,4b647b56f964a520c4b62ae3,Usha Foods & Usha Sweets,Floral Park
Queens,,4c0c01e0bbc676b00d6b4cd5,Mumbai Xpress,Floral Park
Queens,,4c76ff35a5676dcb72671721,Flavor Of India,Floral Park
Queens,,4cc642ed306e224b5bf2a76c,Shahi Darbar,Floral Park
Queens,,55d68c1b498ecf05fa196fe1,Namaste Restaurant and Cafe,Floral Park
Queens,,5d06c43cc03635002cc463f2,Honest,Floral Park
Queens,,4df0f39dd4c04d0392c853ea,Sagar Chinese,Floral Park
Queens,,51d84192498ea979a3c4f13d,Sunshine Grill & Restaurant,Floral Park
Queens,,4e6bfe1c7d8b2c711b17bbe5,Surya sweets and snacks,Floral Park
Queens,,4f580c1be4b0bdfd0e7e8102,Rajdhani Indian Restaurant,Holliswood
Queens,,4c434b2bd691c9b6ef8f8f0a,Sagar Restaurant,Jamaica Estates
Queens,,4c66f1ac8e9120a1b266d964,Sunshine Grill and Restaurant,Jamaica Estates
Queens,,5623f6f9498e5a44a08bfae8,Boishakhi Restaurant,Ravenswood
Queens,,4dc0aaedae606fe8b71c226b,Saffron Cuisine/ Bar,Bellaire
Staten Island,,4b9be038f964a520393036e3,Dosa Garden,New Brighton
Staten Island,,57a27a37498e68b1928c8c66,Spice Rack,Castleton Corners
Staten Island,,4be74a502468c928505a0243,Taste Of India II,New Dorp
Staten Island,,4b9be038f964a520393036e3,Dosa Garden,Tompkinsville
Brooklyn,,519ff6c8498e1300ddcbd45c,Anarkali Indian Cuisine,Ditmas Park
Brooklyn,,4db0f4371e729fcc56497f20,Mashallah,Ditmas Park
Brooklyn,,564d283d498e6e851df79d87,Great Indian Curry,Ditmas Park
Staten Island,,4b65f2e3f964a5206e0a2be3,Al-Humza,Park Hill
Staten Island,,4be74a502468c928505a0243,Taste Of India II,Grant City
Manhattan,,5272ca4511d22488f6895caf,Drunken Munkey,Carnegie Hill
Manhattan,,5b0c8e2d2f97ec002c67a428,Ashoka Fine Dine,Carnegie Hill
Manhattan,,4bbb9dbded7776b0e1ad3e51,Tamarind TriBeCa,Civic Center
Queens,,4bad49a0f964a52041423be3,Annam Brahma,Jamaica Hills
Queens,,4c434b2bd691c9b6ef8f8f0a,Sagar Restaurant,Jamaica Hills
Queens,,4cc08b0900d83704ed474b5c,Sybil's Bakery,Jamaica Hills
Queens,,4cb4a712db32f04dcb5adf4d,Moon Tikka,Jamaica Hills
Queens,,4c2e8df2213c2d7f94742f5d,Tikka Grill,Astoria Heights
Bronx,,551b7f75498e86c00a0ed2e1,Hungry Bird,Concourse Village
Manhattan,,4a63bfb4f964a520b3c51fe3,Chola Eclectic Indian Cuisine,Sutton Place
Manhattan,,4fe4fb50c2eee335e4fea69d,Moti Mahal Delux,Sutton Place
Manhattan,,4a5b660df964a52015bb1fe3,Amma,Turtle Bay
Queens,,4c48da9f3013a59356c5f0e1,Saffron Garden,Sunnyside Gardens
Queens,,5b931ea69d7468002c3b1382,Adda,Blissville
Brooklyn,,5539753f498edbace4746b67,Tandoori Masala,Broadway Junction
Brooklyn,,564d283d498e6e851df79d87,Great Indian Curry,Erasmus
Queens,,50a287a7e4b0033f830f06db,Raj's Indian Kitchen,Queensbridge
Queens,,4b1b341bf964a5208af923e3,Five Star Banquet,Queensbridge
Staten Island,,4b65f2e3f964a5206e0a2be3,Al-Humza,Fox Hills
